Generated by http://statistics.gov.scot,2024-03-03T15:29:57+00:00
http://statistics.gov.scot/data/residential-properties-sales-and-price,House Prices - Residential Properties Sales and Price
measure type,Median
Sales,Price - Median
Measure (cell values): ,Median(Pounds (GBP))

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019,http://reference.data.gov.uk/id/year/2020,http://reference.data.gov.uk/id/year/2021,http://reference.data.gov.uk/id/year/2022
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,89000,109333,132590,145000,135000,135000,140000,137000,135000,140000,148042.5,156000,161830.5,162550,166000,172000,175000,181000,185000
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,64000,90000,100000,124500,120000,120000,120000,115000,118000,112000,115000,120000,118500,122000,130000,135000,137000,150000,165000
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,88450,105000,125000,137000,130000,130000,131250,128500,125000,125000,129500,138500,140000,141500,142000,135000,159995,160000,165499
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,52500,64000,79000,101000,112000,110000,115000,117500,117000,120000,125000,132000,125250,130000,130000,135000,134995,140000,145000
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",65000,82000,95500,110000,108000,110000,110000,110000,110000,115000,120000,125000,128000,129500,122250,135000,138000,153000,155000
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",60000,75000,86000,97500,95000,96000,90000,96000,90000,90300,87000,95000,86500,86625,104850,105000,105000,120000,124225
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,85000,92500,110000,126000,120000,128000,122950,119475,124995,125000,135000,135000,132500,139995,145000,149995,160000,173000,176000
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,86500,108950,110000,121995,125000,132000,131500,134500,135000,135000,129995,135000,136000,142500,149995,175000,164500,155000,169006.5
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,72500,92750,112972.5,125000,127000,125000,124559,125000,127500,124250,115000,126000,126000,141000,150000,157161,159551,172747.5,191995
http://statistics.gov.scot/id/statistical-geography/S16000149,Coatbridge and Chryston,72000,95000,114000,118000,100000,95750,98000,105000,104000,110000,120000,117757,127995,130000,138497.5,145750,147000,149000,160000
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,65000,77000,85000,96100,103500,99500,97750,95000,90000,92500,97500,100000,105000,110000,116676,122000,134000,140000,139000
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,60000,75000,81000,93000,98500,88000,96000,90000,80000,82000,90000,98000,99000,105000,110000,112500,110293.5,107000,120000
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,70000,76500,92000,107750,110000,95000,105000,105000,98000,95000,100000,100634,95000,105000,107000,112000,120000,120000,127640.5
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,56000,70000,77000,90000,90000,85000,85000,81750,73500,75000,83997.5,90000,84500,84750,84136,90000,95000,100050,110000
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,76000,87000,95500,105000,110000,103000,115000,110000,118000,118500,119250,122000,119050,114000,128000,130000,135025,137000,140150
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,85000,94138.5,112525,123000,120500,123500,120000,115250,119000,119225,118500,125000,120500,125000,131000,130000,132000,137650,150000
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,56000,67000,82000,105000,108000,117000,110000,102000,97000,115000,115000,110000,115000,110110,115000,117500,131009,140000,130000
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,65000,83650,99000,117750,105000,106000,100000,103000,107000,105000,106250,116000,115000,120000,118122.5,130500,135000,140000,135927.5
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,91000,97000,112000,125000,134997.5,120000,122000,120625,120000,120000,130000,130000,142500,145000,155000,152000,161000,165000,172000
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,73625,85000,96000,110000,117500,100000,108750,105000,96250,95000,95000,100000,100000,108000,112000,120000,120000,132000,137000
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,127358.5,145500,158500,180000,179950,165000,177495,170000,170000,175000,180000,198000,185000,202000,223275,243800,260000,268499.5,281999
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,166000,168500,181000,195000,200000,195000,205000,199995,205000,215000,230000,233000,245000,265000,260000,266800,285000,295100,314995
http://statistics.gov.scot/id/statistical-geography/S16000104,Edinburgh Central,161000,160000,182750,200000,200000,190000,206025,200500,210000,215528.5,225000,238500,242408,260000,285000,280000,302250,300000,324750
http://statistics.gov.scot/id/statistical-geography/S16000105,Edinburgh Eastern,112000,120000,131995,146375,140000,138000,140000,137250,136935,135000,145000,154000,162500,185000,194950,202995,225995,234000,249000
http://statistics.gov.scot/id/statistical-geography/S16000106,Edinburgh Northern and Leith,132000,138000,152000,163500,160000,150000,155000,150000,150000,145000,155050,165000,167888.5,183220,195000,205214,215000,226263.5,238000
http://statistics.gov.scot/id/statistical-geography/S16000107,Edinburgh Pentlands,111787.5,120000,130000,146625,148000,142500,150000,165000,165000,171500,180000,175500,179997.5,175000,200000,207755.5,215000,210460,222000
http://statistics.gov.scot/id/statistical-geography/S16000108,Edinburgh Southern,175000,180000,191500,209104.5,210000,200000,221294,220000,215000,215000,222222,244834,241553,270221,285000,278616,289993,300000,320000
http://statistics.gov.scot/id/statistical-geography/S16000109,Edinburgh Western,128050,142500,159975,178000,172500,170000,178277,182500,185000,190000,187200,219995,195995,207500,220000,220000,230000,241620.5,272300
http://statistics.gov.scot/id/statistical-geography/S16000111,"Ettrick, Roxburgh and Berwickshire",79800,87500,115000,128000,125000,120350,128000,134000,121000,124999,130000,129000,132250,135500,140000,132000,144000,155000,165000
http://statistics.gov.scot/id/statistical-geography/S16000112,Falkirk East,72500,82000,90300,105000,107500,103247.5,102000,105000,100000,104950,102500,110100,113000,113750,120000,125000,132000,133000,150247.5
http://statistics.gov.scot/id/statistical-geography/S16000113,Falkirk West,70000,82995,94400,105000,107000,100000,100000,100000,99950,97500,103000,104000,109500,118000,135000,133066.5,135500,141500,146000
http://statistics.gov.scot/id/statistical-geography/S16000114,Galloway and West Dumfries,80000,92050,107532.5,119497.5,125000,110000,124500,115250,115000,115000,120000,110000,118000,121000,130000,126000,129250,140000,150812.5
http://statistics.gov.scot/id/statistical-geography/S16000115,Glasgow Anniesland,99000,108000,115050,136295,130000,117950,121521,117000,114995,112000,117250,119000,120000,130000,133500,130000,144499.5,150000,171001
http://statistics.gov.scot/id/statistical-geography/S16000116,Glasgow Cathcart,94000,96500,105000,115000,115000,109400,107000,102500,95750,99972.5,105000,110000,118000,127026,138747.5,146997.5,158950,167903,177000
http://statistics.gov.scot/id/statistical-geography/S16000117,Glasgow Kelvin,145000,152000,160000,170500,160077.5,155000,155000,158100,155000,153000,153475,166000,175000,185750,195000,195000,210000,222500,230000
http://statistics.gov.scot/id/statistical-geography/S16000118,Glasgow Maryhill and Springburn,78000,87000,100000,112500,105000,100000,102500,100000,95000,89995,90000,96350,96175,106750,115000,115000,122277,135000,145000
http://statistics.gov.scot/id/statistical-geography/S16000119,Glasgow Pollok,71250,83150,100000,110000,96000,88500,88000,90000,86000,80000,88000,95000,97250,105000,110140,112315,120000,127937.5,130500
